郑州|金水区|3室1厅|122.74平米|南|精装|6|板楼|164.6万
郑州|金水区|2室2厅|93.78平米|南北|精装|18|板塔结合|168万
郑州|金水区|2室1厅|58.76平米|南|毛坯|26|板塔结合|65万
郑州|金水区|3室2厅|121.71平米|南北|精装|27|板楼|230万
郑州|金水区|3室2厅|103.5平米|南西西北|简装|17|板楼|150万
郑州|金水区|2室1厅|86.03平米|南|简装|14|塔楼|136万
郑州|金水区|3室2厅|117.77平米|南|精装|6|板楼|120万
郑州|金水区|3室1厅|90.42平米|南|精装|26|板塔结合|168万
郑州|金水区|2室2厅|83.18平米|南|简装|7|板楼|82万
郑州|金水区|2室2厅|88.12平米|南北|精装|23|板楼|124万
郑州|金水区|3室2厅|99.3平米|南北|其他|7|板楼|115万
郑州|金水区|4室2厅|180.9平米|南北|精装|29|板楼|450万
郑州|金水区|3室2厅|132.9平米|东南|精装|33|板楼|283万
郑州|金水区|4室1厅|177平米|南|精装|7|板楼|242万
郑州|金水区|2室1厅|64.81平米|南北|简装|6|板楼|86万
郑州|金水区|3室2厅|137.96平米|南|精装|32|板楼|320万
郑州|金水区|3室2厅|138.34平米|南北|精装|32|板楼|262万
郑州|金水区|2室2厅|86.2平米|南东北|简装|18|板塔结合|117.9万
郑州|金水区|4室2厅|167.28平米|南北|精装|6|板楼|265万
郑州|金水区|3室1厅|125.66平米|南北|毛坯|34|板楼|221万
郑州|金水区|2室1厅|65.06平米|南|简装|7|板楼|80万
郑州|金水区|2室1厅|66.34平米|南北|简装|7|板楼|78万
郑州|金水区|2室2厅|90.15平米|南北|精装|6|板塔结合|122万
郑州|金水区|2室1厅|80平米|南北|简装|7|板楼|96万
郑州|金水区|2室2厅|80.41平米|南|精装|6|板塔结合|115万
郑州|金水区|3室2厅|123.24平米|南北|精装|6|板塔结合|176万
郑州|金水区|3室1厅|55.8平米|南|精装|5|塔楼|155万
郑州|金水区|4室2厅|150.06平米|南北|精装|18|板楼|235万
郑州|金水区|3室2厅|105.11平米|东|简装|6|板楼|385万
郑州|金水区|3室2厅|118.11平米|南北|简装|7|板楼|168万
郑州|金水区|2室1厅|58.27平米|南|简装|7|板楼|230万
郑州|金水区|3室2厅|134.67平米|西南|简装|28|板楼|376万
郑州|金水区|4室2厅|205平米|南北|精装|30|板楼|355万
郑州|金水区|2室2厅|70.03平米|东西|简装|6|平房|125万
郑州|金水区|3室2厅|146.61平米|南|简装|11|板楼|295万
郑州|金水区|2室2厅|88.68平米|南北|简装|6|板塔结合|137万
郑州|金水区|3室1厅|78.46平米|南|精装|7|板楼|143万
郑州|金水区|3室1厅|103.08平米|南|简装|7|板塔结合|108万
郑州|金水区|2室1厅|64.26平米|西|简装|6|暂无数据|70万
郑州|金水区|2室1厅|59.71平米|南|简装|6|板楼|58万
郑州|金水区|3室2厅|102.41平米|东南|简装|31|塔楼|115万
郑州|金水区|4室2厅|150.02平米|南北|简装|18|板塔结合|180万
郑州|金水区|3室1厅|87平米|南北|精装|26|板楼|153万
郑州|金水区|4室2厅|184.73平米|南|精装|12|板塔结合|290万
郑州|金水区|2室2厅|86.14平米|西|简装|20|板塔结合|105万
郑州|金水区|3室2厅|92.62平米|南|精装|11|板塔结合|123万
郑州|金水区|3室2厅|89.44平米|南|精装|34|板楼|187万
郑州|金水区|3室1厅|96.76平米|南北|简装|7|板楼|126.5万
郑州|金水区|3室2厅|135.66平米|南|精装|32|板塔结合|258万
郑州|金水区|2室1厅|88.72平米|南北|精装|6|板塔结合|160万
郑州|金水区|2室2厅|94.66平米|西南|简装|29|塔楼|123万
郑州|金水区|2室1厅|55.88平米|南|简装|5|板楼|110万
郑州|金水区|3室2厅|117.14平米|南北|精装|28|板楼|182万
郑州|金水区|2室2厅|87.93平米|南|精装|34|板楼|125.6万
郑州|金水区|3室2厅|123.85平米|南|简装|11|板塔结合|210万
郑州|金水区|3室2厅|110.35平米|南北|简装|7|板楼|125万
郑州|金水区|2室1厅|82.25平米|南北|简装|5|板楼|160万
郑州|金水区|2室1厅|78.13平米|西北|简装|33|塔楼|136万
